any,districte,seccio,sexe,codi_nivell_estudis,nivell_estudis,data_naixement,codi_municipi_naixement,municipi_pais_naixement,codi_provincia_naixement,provincia_naixement,codi_nacionalitat,nacionalitat,data_alta,codi_municipi_procedencia,municipi_pais_procedencia,codi_provincia_procedencia,provincia_procedencia
2022,4,1,HOME,31,"BATX. ELEM., GRADUAT, ESO",1973,128,RUMANIA,66,EXTRANJERO,128,RUMANIA,19/11/2007,79,MADRID,28,MADRID
2022,4,2,DONA,42,"BATXILLER SUPERIOR, BUP",1975,128,RUMANIA,66,EXTRANJERO,128,RUMANIA,05/05/2011,79,MADRID,28,MADRID
2022,4,2,DONA,22,PRIMÀRIA INCOMPLETA,1997,128,RUMANIA,66,EXTRANJERO,128,RUMANIA,01/08/2011,128,RUMANIA,66,EXTRANJERO
2022,4,3,DONA,43,ALTRES TÍTOLS DE GRAU MIG,1993,128,RUMANIA,66,EXTRANJERO,128,RUMANIA,17/12/2013,128,RUMANIA,66,EXTRANJERO
2022,4,3,HOME,11,NI LLEGIR NI ESCRIURE,2011,79,GIRONA,17,GIRONA,128,RUMANIA,11/10/2011,79,GIRONA,17,GIRONA
2022,4,3,HOME,41,FORMACIÓ PROFESS 2ON GRAU,1963,128,RUMANIA,66,EXTRANJERO,128,RUMANIA,20/06/2007,128,RUMANIA,66,EXTRANJERO
2022,4,4,HOME,46,LLICENCIAT O GRAU UNIVER.,1948,138,BELARÚS,66,EXTRANJERO,138,BELARÚS,31/08/2013,79,GIRONA,17,GIRONA
2022,4,4,DONA,46,LLICENCIAT O GRAU UNIVER.,1949,138,BELARÚS,66,EXTRANJERO,138,BELARÚS,31/08/2013,79,GIRONA,17,GIRONA
2022,4,4,DONA,46,LLICENCIAT O GRAU UNIVER.,1975,138,BELARÚS,66,EXTRANJERO,138,BELARÚS,09/08/2001,138,<20,66,EXTRANJERO
2022,5,1,HOME,46,LLICENCIAT O GRAU UNIVER.,1963,79,GIRONA,17,GIRONA,108,ESPAÑA,01/05/1996,79,GIRONA,17,GIRONA
2022,5,1,DONA,11,NI LLEGIR NI ESCRIURE,2008,79,GIRONA,17,GIRONA,108,ESPAÑA,28/07/2008,79,GIRONA,17,GIRONA
2022,5,1,DONA,11,NI LLEGIR NI ESCRIURE,2003,79,GIRONA,17,GIRONA,108,ESPAÑA,21/07/2003,79,GIRONA,17,GIRONA
2022,5,2,DONA,42,"BATXILLER SUPERIOR, BUP",1981,79,GIRONA,17,GIRONA,108,ESPAÑA,01/05/1996,79,GIRONA,17,GIRONA
2022,5,3,HOME,42,"BATXILLER SUPERIOR, BUP",1937,79,GIRONA,17,GIRONA,108,ESPAÑA,01/05/1996,79,GIRONA,17,GIRONA
2022,5,3,HOME,46,LLICENCIAT O GRAU UNIVER.,1977,340,ARGENTINA,66,EXTRANJERO,108,ESPAÑA,21/03/2007,22,LA BISBAL D'EMPORDA,17,GIRONA
2022,5,3,HOME,31,"BATX. ELEM., GRADUAT, ESO",1973,62,L'ESCALA,17,GIRONA,108,ESPAÑA,30/10/2003,44,CASSÀ DE LA SELVA,17,GIRONA
2022,5,4,HOME,42,"BATXILLER SUPERIOR, BUP",1986,19,BARCELONA,8,BARCELONA,108,ESPAÑA,16/10/2008,5,<20,8,BARCELONA
2022,5,4,DONA,22,PRIMÀRIA INCOMPLETA,1960,5,<20,14,CÓRDOBA,108,ESPAÑA,01/05/1996,160,S. FELIU DE GUIXOLS,17,GIRONA
2022,5,5,DONA,11,NI LLEGIR NI ESCRIURE,2003,79,GIRONA,17,GIRONA,108,ESPAÑA,14/02/2003,79,GIRONA,17,GIRONA
2022,5,5,HOME,40,"BATXILLER,FPII O SUPERIOR",1962,126,ALEMANIA,66,EXTRANJERO,126,ALEMANIA,13/04/1999,126,ALEMANIA,66,EXTRANJERO
2022,5,6,HOME,11,NI LLEGIR NI ESCRIURE,1999,79,GIRONA,17,GIRONA,108,ESPAÑA,29/05/1999,79,GIRONA,17,GIRONA
